Index,Window Length,VaR Level,Model,num_forecasts,num_violations,violation_rate,target_violation_rate,abs_deviation
S&P 500,2000,0.95,Historical VaR,3864,165,0.042701863354037264,0.050000000000000044,0.00729813664596278
S&P 500,2000,0.99,Historical VaR,3864,38,0.009834368530020704,0.010000000000000009,0.0001656314699793049
S&P 500,2000,0.995,Historical VaR,3864,22,0.005693581780538302,0.0050000000000000044,0.0006935817805382976
Malaysia KLCI,2000,0.95,Historical VaR,3717,158,0.04250739843960183,0.050000000000000044,0.0074926015603982155
Malaysia KLCI,2000,0.99,Historical VaR,3717,36,0.009685230024213076,0.010000000000000009,0.00031476997578693336
Malaysia KLCI,2000,0.995,Historical VaR,3717,17,0.0045735808447672855,0.0050000000000000044,0.00042641915523271897
FTSE 100,2000,0.95,Historical VaR,3888,144,0.037037037037037035,0.050000000000000044,0.01296296296296301
FTSE 100,2000,0.99,Historical VaR,3888,31,0.007973251028806584,0.010000000000000009,0.0020267489711934244
FTSE 100,2000,0.995,Historical VaR,3888,20,0.0051440329218107,0.0050000000000000044,0.00014403292181069515
Dubai DFMGI,2000,0.95,Historical VaR,2467,79,0.032022699635184435,0.050000000000000044,0.01797730036481561
Dubai DFMGI,2000,0.99,Historical VaR,2467,26,0.01053911633563032,0.010000000000000009,0.0005391163356303109
Dubai DFMGI,2000,0.995,Historical VaR,2467,6,0.0024321037697608433,0.0050000000000000044,0.002567896230239161
Singapore STI,2000,0.95,Historical VaR,3834,123,0.032081377151799685,0.050000000000000044,0.01791862284820036
Singapore STI,2000,0.99,Historical VaR,3834,24,0.006259780907668232,0.010000000000000009,0.003740219092331777
Singapore STI,2000,0.995,Historical VaR,3834,14,0.0036515388628064684,0.0050000000000000044,0.001348461137193536
Hong Kong HSI,2000,0.95,Historical VaR,3743,170,0.04541811381244991,0.050000000000000044,0.0045818861875501354
Hong Kong HSI,2000,0.99,Historical VaR,3743,35,0.009350788137857334,0.010000000000000009,0.0006492118621426752
Hong Kong HSI,2000,0.995,Historical VaR,3743,17,0.004541811381244991,0.0050000000000000044,0.00045818861875501337
Shanghai Composite,2000,0.95,Historical VaR,3652,118,0.03231106243154436,0.050000000000000044,0.017688937568455687
Shanghai Composite,2000,0.99,Historical VaR,3652,25,0.006845564074479737,0.010000000000000009,0.003154435925520272
Shanghai Composite,2000,0.995,Historical VaR,3652,12,0.0032858707557502738,0.0050000000000000044,0.0017141292442497307
Shenzhen Component,2000,0.95,Historical VaR,3653,135,0.036955926635641935,0.050000000000000044,0.01304407336435811
Shenzhen Component,2000,0.99,Historical VaR,3653,24,0.006569942513003011,0.010000000000000009,0.0034300574869969977
Shenzhen Component,2000,0.995,Historical VaR,3653,11,0.003011223651793047,0.0050000000000000044,0.0019887763482069575
Nikkei 225,2000,0.95,Historical VaR,3704,156,0.042116630669546434,0.050000000000000044,0.00788336933045361
Nikkei 225,2000,0.99,Historical VaR,3704,29,0.00782937365010799,0.010000000000000009,0.0021706263498920183
Nikkei 225,2000,0.995,Historical VaR,3704,13,0.003509719222462203,0.0050000000000000044,0.0014902807775378016
Germany DAX,2000,0.95,Historical VaR,3919,168,0.04286807859147742,0.050000000000000044,0.007131921408522625
Germany DAX,2000,0.99,Historical VaR,3919,36,0.009186016841030875,0.010000000000000009,0.0008139831589691338
Germany DAX,2000,0.995,Historical VaR,3919,23,0.005868844092880837,0.0050000000000000044,0.0008688440928808329
