Index,Window Length,VaR Level,Model,num_forecasts,num_violations,violation_rate,target_violation_rate,abs_deviation,calibration_status,violation_gap,relative_violation_gap
S&P 500,2000,0.95,Historical VaR,3864,165,0.042701863354037264,0.050000000000000044,0.00729813664596278,Close to target,-0.00729813664596278,-0.14596273291925546
S&P 500,2000,0.99,Historical VaR,3864,38,0.009834368530020704,0.010000000000000009,0.0001656314699793049,Close to target,-0.0001656314699793049,-0.016563146997930475
S&P 500,2000,0.995,Historical VaR,3864,22,0.005693581780538302,0.0050000000000000044,0.0006935817805382976,Close to target,0.0006935817805382976,0.1387163561076594
Malaysia KLCI,2000,0.95,Historical VaR,3717,158,0.04250739843960183,0.050000000000000044,0.0074926015603982155,Close to target,-0.0074926015603982155,-0.14985203120796417
Malaysia KLCI,2000,0.99,Historical VaR,3717,36,0.009685230024213076,0.010000000000000009,0.00031476997578693336,Close to target,-0.00031476997578693336,-0.03147699757869331
Malaysia KLCI,2000,0.995,Historical VaR,3717,17,0.0045735808447672855,0.0050000000000000044,0.00042641915523271897,Close to target,-0.00042641915523271897,-0.08528383104654372
FTSE 100,2000,0.95,Historical VaR,3888,144,0.037037037037037035,0.050000000000000044,0.01296296296296301,Conservative,-0.01296296296296301,-0.25925925925925997
FTSE 100,2000,0.99,Historical VaR,3888,31,0.007973251028806584,0.010000000000000009,0.0020267489711934244,Close to target,-0.0020267489711934244,-0.20267489711934225
FTSE 100,2000,0.995,Historical VaR,3888,20,0.0051440329218107,0.0050000000000000044,0.00014403292181069515,Close to target,0.00014403292181069515,0.028806584362139006
Dubai DFMGI,2000,0.95,Historical VaR,2467,79,0.032022699635184435,0.050000000000000044,0.01797730036481561,Conservative,-0.01797730036481561,-0.35954600729631186
Dubai DFMGI,2000,0.99,Historical VaR,2467,26,0.01053911633563032,0.010000000000000009,0.0005391163356303109,Close to target,0.0005391163356303109,0.053911633563031046
Dubai DFMGI,2000,0.995,Historical VaR,2467,6,0.0024321037697608433,0.0050000000000000044,0.002567896230239161,Conservative,-0.002567896230239161,-0.5135792460478318
Singapore STI,2000,0.95,Historical VaR,3834,123,0.032081377151799685,0.050000000000000044,0.01791862284820036,Conservative,-0.01791862284820036,-0.3583724569640069
Singapore STI,2000,0.99,Historical VaR,3834,24,0.006259780907668232,0.010000000000000009,0.003740219092331777,Conservative,-0.003740219092331777,-0.3740219092331774
Singapore STI,2000,0.995,Historical VaR,3834,14,0.0036515388628064684,0.0050000000000000044,0.001348461137193536,Conservative,-0.001348461137193536,-0.26969222743870697
Hong Kong HSI,2000,0.95,Historical VaR,3743,170,0.04541811381244991,0.050000000000000044,0.0045818861875501354,Close to target,-0.0045818861875501354,-0.09163772375100263
Hong Kong HSI,2000,0.99,Historical VaR,3743,35,0.009350788137857334,0.010000000000000009,0.0006492118621426752,Close to target,-0.0006492118621426752,-0.06492118621426746
Hong Kong HSI,2000,0.995,Historical VaR,3743,17,0.004541811381244991,0.0050000000000000044,0.00045818861875501337,Close to target,-0.00045818861875501337,-0.0916377237510026
Shanghai Composite,2000,0.95,Historical VaR,3652,118,0.03231106243154436,0.050000000000000044,0.017688937568455687,Conservative,-0.017688937568455687,-0.3537787513691134
Shanghai Composite,2000,0.99,Historical VaR,3652,25,0.006845564074479737,0.010000000000000009,0.003154435925520272,Conservative,-0.003154435925520272,-0.3154435925520269
Shanghai Composite,2000,0.995,Historical VaR,3652,12,0.0032858707557502738,0.0050000000000000044,0.0017141292442497307,Conservative,-0.0017141292442497307,-0.3428258488499458
Shenzhen Component,2000,0.95,Historical VaR,3653,135,0.036955926635641935,0.050000000000000044,0.01304407336435811,Conservative,-0.01304407336435811,-0.26088146728716194
Shenzhen Component,2000,0.99,Historical VaR,3653,24,0.006569942513003011,0.010000000000000009,0.0034300574869969977,Conservative,-0.0034300574869969977,-0.34300574869969946
Shenzhen Component,2000,0.995,Historical VaR,3653,11,0.003011223651793047,0.0050000000000000044,0.0019887763482069575,Conservative,-0.0019887763482069575,-0.39775526964139113
Nikkei 225,2000,0.95,Historical VaR,3704,156,0.042116630669546434,0.050000000000000044,0.00788336933045361,Close to target,-0.00788336933045361,-0.15766738660907206
Nikkei 225,2000,0.99,Historical VaR,3704,29,0.00782937365010799,0.010000000000000009,0.0021706263498920183,Close to target,-0.0021706263498920183,-0.21706263498920164
Nikkei 225,2000,0.995,Historical VaR,3704,13,0.003509719222462203,0.0050000000000000044,0.0014902807775378016,Conservative,-0.0014902807775378016,-0.29805615550756004
Germany DAX,2000,0.95,Historical VaR,3919,168,0.04286807859147742,0.050000000000000044,0.007131921408522625,Close to target,-0.007131921408522625,-0.14263842817045236
Germany DAX,2000,0.99,Historical VaR,3919,36,0.009186016841030875,0.010000000000000009,0.0008139831589691338,Close to target,-0.0008139831589691338,-0.0813983158969133
Germany DAX,2000,0.995,Historical VaR,3919,23,0.005868844092880837,0.0050000000000000044,0.0008688440928808329,Close to target,0.0008688440928808329,0.17376881857616644
