Index,Window Length,VaR Level,DoF,Model,num_forecasts,num_violations,violation_rate,target_violation_rate,abs_deviation
S&P 500,2000,0.95,5,"Student-t VaR, DoF=5",3864,161,0.041666666666666664,0.050000000000000044,0.00833333333333338
S&P 500,2000,0.99,5,"Student-t VaR, DoF=5",3864,54,0.013975155279503106,0.010000000000000009,0.003975155279503097
S&P 500,2000,0.995,5,"Student-t VaR, DoF=5",3864,34,0.008799171842650104,0.0050000000000000044,0.0037991718426500995
Malaysia KLCI,2000,0.95,5,"Student-t VaR, DoF=5",3717,166,0.04465967177831585,0.050000000000000044,0.005340328221684197
Malaysia KLCI,2000,0.99,5,"Student-t VaR, DoF=5",3717,45,0.012106537530266344,0.010000000000000009,0.0021065375302663347
Malaysia KLCI,2000,0.995,5,"Student-t VaR, DoF=5",3717,23,0.006187785848802798,0.0050000000000000044,0.001187785848802794
FTSE 100,2000,0.95,5,"Student-t VaR, DoF=5",3888,138,0.035493827160493825,0.050000000000000044,0.01450617283950622
FTSE 100,2000,0.99,5,"Student-t VaR, DoF=5",3888,41,0.010545267489711935,0.010000000000000009,0.0005452674897119258
FTSE 100,2000,0.995,5,"Student-t VaR, DoF=5",3888,27,0.006944444444444444,0.0050000000000000044,0.0019444444444444396
Dubai DFMGI,2000,0.95,5,"Student-t VaR, DoF=5",2467,71,0.028779894608836645,0.050000000000000044,0.0212201053911634
Dubai DFMGI,2000,0.99,5,"Student-t VaR, DoF=5",2467,28,0.011349817592217268,0.010000000000000009,0.0013498175922172593
Dubai DFMGI,2000,0.995,5,"Student-t VaR, DoF=5",2467,25,0.010133765707336847,0.0050000000000000044,0.005133765707336842
Singapore STI,2000,0.95,5,"Student-t VaR, DoF=5",3834,121,0.03155972874282734,0.050000000000000044,0.018440271257172708
Singapore STI,2000,0.99,5,"Student-t VaR, DoF=5",3834,30,0.00782472613458529,0.010000000000000009,0.002175273865414719
Singapore STI,2000,0.995,5,"Student-t VaR, DoF=5",3834,17,0.004434011476264998,0.0050000000000000044,0.0005659885237350067
Hong Kong HSI,2000,0.95,5,"Student-t VaR, DoF=5",3743,190,0.050761421319796954,0.050000000000000044,0.0007614213197969094
Hong Kong HSI,2000,0.99,5,"Student-t VaR, DoF=5",3743,39,0.010419449639326743,0.010000000000000009,0.00041944963932673447
Hong Kong HSI,2000,0.995,5,"Student-t VaR, DoF=5",3743,22,0.005877638258081752,0.0050000000000000044,0.0008776382580817478
Shanghai Composite,2000,0.95,5,"Student-t VaR, DoF=5",3652,114,0.0312157721796276,0.050000000000000044,0.018784227820372444
Shanghai Composite,2000,0.99,5,"Student-t VaR, DoF=5",3652,35,0.009583789704271631,0.010000000000000009,0.00041621029572837774
Shanghai Composite,2000,0.995,5,"Student-t VaR, DoF=5",3652,26,0.007119386637458927,0.0050000000000000044,0.0021193866374589225
Shenzhen Component,2000,0.95,5,"Student-t VaR, DoF=5",3653,136,0.0372296742403504,0.050000000000000044,0.012770325759649648
Shenzhen Component,2000,0.99,5,"Student-t VaR, DoF=5",3653,38,0.010402408978921434,0.010000000000000009,0.00040240897892142476
Shenzhen Component,2000,0.995,5,"Student-t VaR, DoF=5",3653,26,0.0071174377224199285,0.0050000000000000044,0.002117437722419924
Nikkei 225,2000,0.95,5,"Student-t VaR, DoF=5",3704,160,0.04319654427645788,0.050000000000000044,0.006803455723542164
Nikkei 225,2000,0.99,5,"Student-t VaR, DoF=5",3704,36,0.009719222462203024,0.010000000000000009,0.0002807775377969852
Nikkei 225,2000,0.995,5,"Student-t VaR, DoF=5",3704,24,0.0064794816414686825,0.0050000000000000044,0.001479481641468678
Germany DAX,2000,0.95,5,"Student-t VaR, DoF=5",3919,168,0.04286807859147742,0.050000000000000044,0.007131921408522625
Germany DAX,2000,0.99,5,"Student-t VaR, DoF=5",3919,43,0.010972186782342434,0.010000000000000009,0.0009721867823424251
Germany DAX,2000,0.995,5,"Student-t VaR, DoF=5",3919,29,0.007399846899719316,0.0050000000000000044,0.002399846899719312
